Ward Code;Ward Name ;Time Period;Latest Mid-Year Population Estimates for Ward;All Crimes (number);All Crimes (rate per 1000 ward population);Violent & Sexual Offences (number);Violent & Sexual Offences (rate per 1000 ward population);Burglary (number);Burglary (rate per 1000 ward population);geo_point_2d
E05010916;Stoke Bishop;2016/17;12103;584;48.2524993803;114;9.4191522763;93;7.68404527803;51.4774256958,-2.63604316329
E05010918;Windmill Hill;2016/17;13511;1113;82.3773221819;351;25.9788320628;96;7.10532158982;51.4390971799,-2.58594427096
E05010891;Brislington West;2017/18;11235;1344;119.626168224;382;34.0008900757;106;9.43480195817;51.4343938593,-2.54906988637
E05010901;Henbury & Brentry;2017/18;12360;1197;96.8446601942;399;32.2815533981;120;9.70873786408;51.5089736142,-2.62103514848
E05010906;Knowle;2017/18;13315;1063;79.8347728126;346;25.9857303793;97;7.28501689824;51.4327773874,-2.57233440569
E05010898;Filwood;2018/19;13750;1721;125.163636364;677;49.2363636364;78;5.67272727273;51.4254187146,-2.59280262818
E05010900;Hartcliffe & Withywood;2018/19;19005;2653;139.594843462;1114;58.6161536438;115;6.05103920021;51.4077037025,-2.6122179734
E05010910;St George Central;2018/19;12902;1105;85.6456363355;459;35.5758797086;118;9.14586885754;51.4621405804,-2.52638340272
E05010914;Southville;2018/19;12671;2105;166.127377476;519;40.9596716913;118;9.31260358298;51.4433220308,-2.60399054226
E05010917;Westbury-on-Trym & Henleaze;2018/19;19971;827;41.4100445646;174;8.71263331831;125;6.25907565971;51.4897948304,-2.61748273112
E05010918;Windmill Hill;2018/19;13735;904;65.8172551875;310;22.570076447;63;4.58682198762;51.4390971799,-2.58594427096
E05010895;Cotham;2016/17;11880;761;64.0572390572;132;11.1111111111;111;9.34343434343;51.4659633898,-2.59991083361
E05010898;Filwood;2016/17;13830;1755;126.898047722;639;46.2039045553;121;8.74909616775;51.4254187146,-2.59280262818
E05010888;Bishopston & Ashley Down;2017/18;13280;1120;84.3373493976;257;19.3524096386;153;11.5210843373;51.4814532715,-2.58646340656
E05010898;Filwood;2017/18;13801;1722;124.773567133;654;47.3878704442;92;6.66618360988;51.4254187146,-2.59280262818
E05010899;Frome Vale;2017/18;13281;1509;113.620962277;462;34.7865371583;134;10.0896016866;51.4870905493,-2.53119915299
E05010916;Stoke Bishop;2017/18;12195;556;45.5924559246;126;10.332103321;69;5.65805658057;51.4774256958,-2.63604316329
E05010895;Cotham;2018/19;12110;773;63.8315441784;179;14.7811725846;162;13.377374071;51.4659633898,-2.59991083361
E05010902;Hengrove & Whitchurch Park;2018/19;17222;1633;94.82057833;616;35.7682034607;114;6.61944025084;51.4115422794,-2.57721341501
E05010903;Hillfields;2018/19;12898;1022;79.2370910219;395;30.6249030857;86;6.66770041867;51.4737018096,-2.5225753211
E05010911;St George Troopers Hill;2018/19;5834;209;35.8244772026;72;12.3414466918;25;4.28522454577;51.4534361531,-2.53032298326
E05010890;Brislington East;2016/17;11850;909;76.7088607595;305;25.7383966245;108;9.11392405063;51.4402835576,-2.53865369047
E05010891;Brislington West;2016/17;11212;1382;123.260792009;372;33.1787370674;125;11.1487691759;51.4343938593,-2.54906988637
E05010896;Easton;2016/17;14105;1526;108.188585608;529;37.5044310528;192;13.6121942574;51.4623719964,-2.55850571231
E05010901;Henbury & Brentry;2016/17;12275;1147;93.4419551935;416;33.8900203666;115;9.36863543788;51.5089736142,-2.62103514848
E05010885;Ashley;2017/18;19019;2889;151.900730848;894;47.005625953;183;9.62195699038;51.4683098847,-2.58267316047
E05010886;Avonmouth & Lawrence Weston;2017/18;21191;2377;112.17026096;771;36.3833702987;158;7.45599546977;51.5073341696,-2.67640359358
E05010896;Easton;2017/18;14026;1469;104.734065307;503;35.861970626;131;9.33979751889;51.4623719964,-2.55850571231
E05010903;Hillfields;2017/18;12889;1078;83.6372100241;410;31.8100706028;116;8.99992241446;51.4737018096,-2.5225753211
E05010905;Hotwells & Harbourside;2017/18;6006;2218;369.297369297;754;125.541125541;108;17.982017982;51.4497285026,-2.60957858467
E05010911;St George Troopers Hill;2017/18;5826;215;36.9035358737;79;13.5599038792;21;3.60453141092;51.4534361531,-2.53032298326
E05010885;Ashley;2018/19;19083;2675;140.177120998;787;41.2408950375;178;9.32767384583;51.4683098847,-2.58267316047
E05010886;Avonmouth & Lawrence Weston;2018/19;21375;2288;107.040935673;887;41.4970760234;136;6.36257309942;51.5073341696,-2.67640359358
E05010896;Easton;2018/19;14169;1377;97.1839932246;502;35.4294586774;71;5.01093937469;51.4623719964,-2.55850571231
E05010913;Southmead;2018/19;12632;1171;92.7010766308;477;37.761241292;88;6.96643445218;51.5030620845,-2.60111790007
;Bristol;2018/19;463405;52203;112.650920901;16776;36.2015947174;3709;8.00379797369;
